Категория,"Номенклатура, Единица",Единица измерения,"Вложимость     в 1 коробке, кг",Вид упаковки,страна,ОПИСАНИЕ ТОВАРА
Зелень,салат Айсберг,кг,,,,"Один из самых популярных сортов зеленого салата.
Хрустящая зелень с нейтральным, освежающим вкусом. Сочные листья добавляют блюдам приятную текстуру и объем, становясь идеальной основой для салатов и сэндвичей.
Большим преимуществом салата Айсберг является его высокая морозостойкость и возможность его длительного хранения. Его можно без опасений оставлять в холодильнике. При этом овощная культура не теряет все свои ценные качества и первоначальный вид.
У салата есть особенность: при соприкосновении с металлом листья могут окислиться и порозоветь. Так же салат ведет себя при долгом нахождении на открытом воздухе без упаковки. Поэтому смело рвите его руками – аппетитный вид блюду гарантирован."
Зелень,салат лист ,кг,10,Пенопластовая коробка,Китай,"Нежная зелень с мягкими, сочными листьями и легким, нейтральным вкусом. Его можно смело сочетать с любыми продуктами. Яркая зелень отлично дополнит салаты и сэндвичи, станет лёгким гарниром к мясу и рыбе. А ещё на подушку из салатных листьев можно выложить закуски."
Зелень,сельдерей,кг,10,Пенопластовая коробка,Китай,"Ароматный и хрустящий овощ с освежающим вкусом. Его длинные стебли и листья обладают легкой пикантной ноткой, которая добавляет яркости любым блюдам. Сельдерей идеально подходит для салатов, смузи, супов и даже как самостоятельная закуска. Он богат витаминами и минералами, а также содержит мало калорий, что делает его отличным выбором для здорового питания."
Зелень,стрелки чеснока,кг,10,Пенопластовая коробка,Китай,
Овощи,баклажаны ,кг,6,Картонная коробка,Китай,"Блестящие баклажаны традиционной вытянутой формы, цвета которых могут варьироваться от светло-фиолетового до иссиня-черного. В готовом виде - мягкие и сочные, с приятным легким ореховым привкусом.
Чтобы баклажаны не горчили, оставьте их на несколько минут в подсоленной воде. Баклажаны отлично подойдут для приготовления рагу и различных холодных закусок."
Овощи,имбирь (корень) ,кг,5,Картонная коробка,Китай,"Пряный и ароматный продукт с острым, согревающим вкусом и характерным запахом. Он идеально подходит для добавления в чай, супы, маринады и выпечку, придавая блюдам пикантность и глубину. Имбирь известен своими полезными свойствами, такими как улучшение пищеварения и укрепление иммунитета."
Овощи,кабачки ,кг,5,Пенопластовая коробка,Китай,"Нежные и сочные овощи с легкой текстурой и нейтральным вкусом, которые легко адаптируются под любые кулинарные эксперименты. Их можно жарить, запекать, фаршировать или готовить на гриле, получая каждый раз новые оттенки вкуса. Кабачки богаты витаминами и минералами, что делает их отличным выбором для здорового и сбалансированного питания"
Овощи,капуста белокочанная ,кг,30,Сетка п/п,Китай,"Упругий кочан капусты с сочными, хрустящими листьями. Капуста может стать основой для множества блюд: от свежих салатов до сытных борщей и голубцов. Капуста богата витаминами и клетчаткой, что делает её незаменимой частью здорового рациона."
Овощи,капуста брокколи ,кг,8,Пенопластовая коробка,Китай,Кочаны имеют форму зонтика с большим количеством соцветий зеленого цвета и толстым стеблем. Используют для приготовления первых и вторых горячих блюд.
Овощи,капуста китайская,кг,9,Картонная коробка,Китай,"Хрустящие листья китайской капусты имеют приятный свежий вкус. Они гораздо нежнее, чем листья белокочанной капусты, мягче и приятнее на вкус, без твердых жилок и волокнистых включений. Часто этот овощ сравнивают с салатом, но китайская капуста более сочная и сладкая, чем листовой салат."
Овощи,капуста краснокочанная,кг,,,,"Яркий и сочный овощ с хрустящей текстурой и легким пикантным вкусом. Ее листья толще, чем у белокочанной, окрашены в красно-фиолетовый цвет. Она идеально подходит для свежих салатов, маринадов и тушеных блюд, добавляя им насыщенный цвет и приятный хруст. Краснокочанная капуста богата антиоксидантами и витаминами, что делает ее не только вкусной, но и полезной составляющей вашего рациона."
Овощи,капуста пекинская 600г,шт,30,Пенопластовая коробка,Китай,"Хрустящие листья молодой пекинской капусты имеют приятный свежий вкус. Они гораздо нежнее, чем листья белокочанной капусты, мягче и приятнее на вкус, без твердых жилок и волокнистых включений. Часто этот овощ сравнивают с салатом, но пекинская капуста более сочная и сладкая, чем листовой салат."
Овощи,капуста цветная,кг,8,Пенопластовая коробка,Китай,"Отличная находка для любителей одновременно вкусных, полезных и необычных блюд. Её можно запекать, жарить, готовить на пару или использовать в пюре, получая каждый раз новые оттенки вкуса. Цветная капуста богата витаминами и антиоксидантами, что делает её отличным выбором для поддержания здоровья и хорошего самочувствия."
Овощи,картофель отечественный,кг,30,Сетка п/п,Россия,"Универсальный и любимый многими овощ, обладающий мягкой текстурой и нейтральным вкусом, который легко адаптируется под любые специи и ингредиенты. Его можно варить, жарить, запекать или делать пюре, получая каждый раз новые кулинарные шедевры. Картофель богат углеводами и витаминами группы B, что делает его отличным источником энергии. Наслаждайтесь теплом и уютом блюд из картофеля!"
Овощи,картофель импортный,кг,30,Сетка п/п,Китай,"Китайский картофель отличается ровными, слегка продолговатыми клубнями и тонкой кожурой. Он будет вкусным и в обжаренном виде и «в мундире» и запечённым. Картофель очищен от излишков земли и не имеет глубоких глазков, поэтому его довольно легко чистить."
Овощи,лук репчатый,кг,25,Сетка п/п,Китай,"Незаменимый ингредиент на каждой кухне, обладающий насыщенным, слегка обжигающим вкусом и ярким ароматом. Он идеально подходит для обжаривания, тушения, запекания и добавления в салаты, придавая блюдам глубину и сложность. Репчатый лук богат витаминами и антиоксидантами, что делает его не только вкусным, но и полезным компонентом вашего рациона."
Овощи,лук репчатый красный,кг,,Сетка п/п,Китай,"Яркий и сочный овощ с насыщенным цветом и сладковато-острым вкусом. Он идеально подходит для свежих салатов, маринадов и гарниров, добавляя блюдам не только красоту, но и интересный цвет и вкусовой акцент. Красный лук богат антиоксидантами и витаминами, что делает его не только вкусным, но и полезным дополнением к вашему рациону."
Овощи,морковь мытая,кг,10,Картонная коробка,Китай,"Мытая морковь сэкономит время и усилия в процессе приготовления. Она сохраняет все полезные свойства обычной, такие как высокое содержание витамина А и бета-каротина, а её сладковатый вкус и хрустящая текстура делают морковь идеальной для салатов, соков, супов, рагу и десертов."
Овощи,морковь ,кг,,Сетка п/п,,"Сочная, хрустящая и сладкая морковь добавит ярких красок любому блюду. Она идеально подходит для салатов, соков, супов, рагу и десертов, добавляя блюдам естественный сладкий оттенок. Морковь богата бета-каротином и витаминами, что делает её отличным выбором для поддержания здоровья и красоты."
Овощи,огурцы гладкие,кг,4,Пенопластовая коробка,Китай,"Освежающие и хрустящие огурцы с нежной кожицей и плотной мякотью. Идеально подходят для салатов, сэндвичей и закусок, добавляя блюдам лёгкость и свежесть. Они не горчат, обладают отличным вкусом и выразительным ароматом"
Овощи,огурцы крокодил,кг,4,Пенопластовая коробка,Китай,"Это разновидность обыкновенного огурца, которая отличается размерами и вкусовыми особенностями. Плоды — зелёные, пупырчатые, вытянутые. Кожица нежная, тёмно-зелёная. Мякоть плотная, без пустот. Вкус — сладкий, нежный, ароматный. Рекомендуется для употребления в свежем виде, засолки и консервирования нарезанными дольками. "
Овощи,огурцы маша,кг,4,Пенопластовая коробка,Китай,"Короткоплодные огурцы — идеальный выбор для гурманов и заботливых хозяек! Нежные, хрустящие, без горечи — они порадуют вас свежим летним вкусом. Идеально подходят для салатов, окрошки и, конечно, классической засолки: сохраняют хрусткость и аромат даже после консервирования."
Овощи,огурцы тепличные,кг,4,Пенопластовая коробка,Китай,"Этот сорт отличается насыщенным зеленым цветом, ярким вкусом и нежной кожурой.Опыляется в теплицах пчелами и шмелями, поэтому очень ароматный. Хрустящая и сочная мякоть никогда не бывает горькой."
Овощи,перец сладкий желтый,кг,5,Картонная коробка,Китай,"Яркий и сочный овощ с хрустящей, сладковатой мякотью и легким ароматом. Он идеально подходит для салатов, запеканок и фарширования, добавляя блюдам яркие краски и восхитительный вкус. Желтый перец богат витаминами, особенно витамином С, что делает его отличным выбором для укрепления иммунитета."
Овощи,перец сладкий зеленый,кг,5,Картонная коробка,Китай,"Насыщенный темно-зеленый овощ. Вкус сочный и хрустящий, слегка горьковатый. Он идеально подходит для салатов, запеканок и фарширования, добавляя блюдам яркие краски и восхитительный вкус. Зеленый перец богат витаминами, особенно витамином С, что делает его отличным выбором для укрепления иммунитета."
Овощи,перец сладкий красный,кг,5,Картонная коробка,Китай,"Спелый, сочный, с глянцевой кожицей, он манит своим насыщенным ароматом. Сладкий вкус с легкой пикантной ноткой делает его идеальным ингредиентом для салатов, закусок, гриля и горячих блюд."
Овощи,перец острый зеленый,кг,5,Картонная коробка,Китай,"Пикантный и жгучий овощ с ярким вкусом и ароматом. Он идеально подходит для добавления в острые соусы, маринады и блюда мексиканской и азиатской кухонь, придавая им огонь и характер. Острый зелёный перец богат капсаицином, который стимулирует обмен веществ и повышает тонус организма."
Овощи,перец острый красный,кг,5,Картонная коробка,Китай,"Идеальная приправа для азиатских, мексиканских и других блюд, которые хочется сделать острее.
Острый красный перец хорошо сочетаются с мясом, морепродуктами, рисом, фасолью. Если хотите уменьшить остроту, аккуратно удалите семена и внутренние перегородки — так плоды сохранят вкус, но потеряют чрезмерную жгучесть"
Овощи,редис ,кг,15,Пакет п/э,,"Редис обладает легкой остротой, которая гармонично сочетается с его свежестью, делая его идеальным ингредиентом для салатов. Этот корнеплод богат витаминами и минералами, что делает его не только вкусным, но и полезным дополнением к вашему рациону."
Овощи,редис 500 г,шт,15,Пакет п/э,,"Редис обладает легкой остротой, которая гармонично сочетается с его свежестью, делая его идеальным ингредиентом для салатов.Редис богат витаминами и минералами, помогает укрепить иммунитет и улучшить пищеварение. Каждый хрустящий кусочек дарит ощущение свежести и бодрости!"
Овощи,редька дайкон,кг,10,Картонная коробка,Китай,"Белая редька, также известная, как дайкон пришла к нам из Японии, где ее выращивают уже более тысячи лет.
Текстура у нее плотная, хрустящая, сочная. Вкус сладковатый с пряными оттенками. Горечи в ней нет, поскольку корнеплод не содержит горчичного масла. Подать дайкон можно в любом виде. Свежий и маринованный овощ станет отличной основой для витаминных салатов, гарниром к мясным и рыбным блюдам. Тушёный корнеплод хорошо сочетается с грибами, кальмарами и осьминогами. А ещё с дайконом получаются отличные супы в азиатском стиле."
Овощи,свекла столовая,кг,30,мешок,Китай,"Свёкла – незаменимый ингредиент для многих любимых нами блюд. Она идеально подходит для борщей, винегретов и салатов. Свёклу запекают, тушат, обжаривают и даже кладут в блюда в сыром виде."
Овощи,томаты на ветке ,кг,8,Пластиковый короб,Китай,"Вытянутые, сочные и ароматные плоды с плотной мякотью и сладковатым вкусом. Они идеально подходят для свежих салатов, закусок и консервирования. Обладают насыщенным томатным ароматом и легкой кислинкой, что делает их отличным выбором для придания блюдам яркости и свежести.
"
Овощи,томаты красные ,кг,8,Пластиковый короб,Китай,"Отличаются насыщенным, сладким вкусом с легкой кислинкой, который идеально балансирует между яркостью и мягкостью. Мякоть плотная, мясистая, с небольшим количеством семян, что делает эти помидоры идеальными для салатов, закусок и соусов."
Овощи,томаты розовые,кг,8,Пластиковый короб,Китай,"Розовые помидоры по сравнению с классическими считаются деликатесными. Действительно, вкус у них слаще, почти без кислинки, даже с лёгким фруктовым или медовым послевкусием. Мякоть очень нежная, сахаристая. Розовые помидоры идеально подходят для салатов, закусок, соусов. Они добавляют блюдам не только великолепный вкус, но и красивый, романтичный оттенок."
Овощи,томаты сливовидные,кг,8,Пластиковый короб,Китай,"Маленькие, вытянутые, сочные и ароматные плоды с плотной мякотью и сладковатым вкусом. Они идеально подходят для свежих салатов, закусок и консервирования. Обладают насыщенным томатным ароматом и легкой кислинкой, что делает их отличным выбором для придания блюдам яркости и свежести."
Овощи,томаты черные,кг,8,Пластиковый короб,Китай,
Овощи,томаты черри ветка,кг,2,Пластиковый короб,Китай,
Овощи,томаты черри красные,кг,2,Пластиковый короб,Китай,"Эти миниатюрные томаты ярко-красного цвета порадуют своим насыщенным сладковатым вкусом, сочностью и идеальной формой.
Помидоры черри — неотъемлемая часть овощных тарелок и салатов. Кроме того, с ними можно быстро приготовить эффектные закуски, такие как изысканные канапе и элегантные шашлычки."
Овощи,томаты черри розовые,кг,2,Пластиковый короб,Китай,
Овощи,томаты в чашке,шт,5,Пластиковый короб,Китай,
Овощи,томаты черри в чашке,шт,5,Пластиковый короб,Китай,
Овощи,чеснок ,кг,10,Картонная коробка,Китай,"Настоящее ароматное сокровище для вашей кухни! Этот уникальный овощ не только добавит насыщенный вкус и пикантность вашим блюдам, но и станет мощным союзником в поддержании здоровья.
Легко чистится, имеет сочные зубчики и с лёгкостью преобразит любое овощное или мясное блюдо, придав вкусу насыщенность и глубину!"
"Сухофрукты, орехи, семечки",арахис очищенный,кг,,,,
"Сухофрукты, орехи, семечки",арахис неочищенный,кг,,,,
"Сухофрукты, орехи, семечки",сухофрукты,кг,,,,
"Сухофрукты, орехи, семечки",финики,кг,,,,
"Сухофрукты, орехи, семечки",чернослив,кг,,,,
"Сухофрукты, орехи, семечки",шиповник,кг,,,,
"Сухофрукты, орехи,семечки",изюм желтый,кг,5,Картонная коробка,,
"Сухофрукты, орехи,семечки",изюм красный,кг,5,Картонная коробка,,
"Сухофрукты, орехи,семечки",курага ,кг,,,,
"Сухофрукты, орехи,семечки",орех грецкий очищенный,кг,,,,
"Сухофрукты, орехи,семечки",орех грецкий неочищенный,кг,,,,
"Сухофрукты, орехи,семечки",семечки черные,кг,,,,
"Фрукты, ягоды",авокадо,шт,,,,"Нежнейшая мякоть авокадо — прекрасное дополнение к любым блюдам, она обладает кремово-маслянистой текстурой и нежным сливочным вкусом с ореховыми нотками. От утреннего тоста до легкого вечернего салата — авокадо везде найдет свое место. Богатство витаминов и полезных жиров сделает ваше питание не только вкусным, но и полезным. Начните утро с энергии, добавьте авокадо в ваш завтрак, в смузи или используйте как основу для изысканного гуакамоле."
"Фрукты, ягоды",ананасы,кг,10,Пластиковый короб,Китай,"Яркий представитель тропических фруктов с сочной, ярко-желтой мякотью и сладко-кислым вкусом. Его аромат и насыщенная текстура делают его незаменимым ингредиентом в различных блюдах. Ананас можно есть свежим, добавлять в салаты, десерты, смузи и даже жареные блюда. Он придает пище особую свежесть и легкость."
"Фрукты, ягоды",апельсины ,кг,10,Пластиковый короб,Китай,"Плоды среднего размера, слегка продолговатой формы. Апельсин с тонкой кожурой, насыщенным ароматом, сочной мякотью и ярким кисло-сладким вкусом. Отлично подходит для приготовления свежевыжатого сока."
"Фрукты, ягоды",арбуз,кг,13,Картонная коробка,Китай,
"Фрукты, ягоды",бананы,кг,19.4,Картонная коробка,Эквадор,"Популярный фрукт с мягкой, кремовой текстурой и сладким вкусом. Он богат углеводами, калием и витаминами группы B, что делает его отличным источником быстрой энергии. Бананы легко усваиваются и подходят для перекусов перед тренировками или в течение дня. Их можно есть свежими, добавлять в каши, смузи, выпечку или даже жарить. Благодаря нейтральному вкусу, бананы хорошо сочетаются с другими фруктами, орехами и молочными продуктами."
"Фрукты, ягоды",виноград зеленый,кг,6,Пластиковый короб,Китай,
"Фрукты, ягоды",виноград Киш-Миш,кг,6,Пластиковый короб,Китай,
"Фрукты, ягоды",виноград красный,кг,6,Пластиковый короб,Китай,"Сорт с крупными ягодами нежного красного цвета, у них плотная сладкая мякоть без косточек и слегка терпкая кожица. Он отличается сладким вкусом с легкой кислинкой и хрустящей мякотью. Прекрасно сочетается с молодыми и зрелыми сырами, винами и свежими закусками. Ценится за свою презентабельность и отличные вкусовые качества."
"Фрукты, ягоды",виноград малиновый,кг,6,Пластиковый короб,Китай,
"Фрукты, ягоды",виноград пальчики,кг,6,Пластиковый короб,Китай,
"Фрукты, ягоды",виноград тайфи,кг,6,Пластиковый короб,Китай,
"Фрукты, ягоды",виноград черный,кг,6,Пластиковый короб,Китай,"Воплощение природного совершенства. Насыщенный темно-фиолетовый, почти черный цвет притягивает взгляд, обещая богатый и глубокий вкус. Ягоды сочные, с тонкой кожурой и мелкими косточками, которые добавляют приятную текстуру. Вкус черного винограда — это гармония сладости и легкой терпкости. Идеально подходит для украшения десертов, добавления в салаты или приготовления домашнего вина. Он также великолепен в свежем виде, освежая и даря заряд витаминов и антиоксидантов."
"Фрукты, ягоды",виноград мускат,кг,6,Пластиковый короб,Китай,
"Фрукты, ягоды",гранат ,кг,5,Пластиковый короб,Китай,"Гранат украшает любое блюдо, в котором появляется, формой и цветом своих зерен, а также вкусом — сладко-кислым, очень бодрящим. Его сок одновременно и сладкий, и деликатно кислый, и это сочетание способно само сделать блюдо, а может дополнить мясо или птицу."
"Фрукты, ягоды",грейпфрут ,кг,,,,"Грейпфрут — гибрид помело и апельсина. Он сочетает в себе сладость апельсина и лёгкую горьковатую нотку. Чаще всего этот фрукт подают в свежем виде в качестве самостоятельного десерта. Широко используется грейпфрут и в кулинарии: его добавляют в салаты, подают с горячими блюдами из мяса, птицы, рыбы."
"Фрукты, ягоды",груша желтая ,кг,9,Картонная коробка,Китай,"Китайская груша отличается от традиционных европейских сортов, она имеет круглую форму и желтовато-зелёную кожицу с лёгким румянцем. Мякоть у неё белая, сочная, хрустящая, с освежающим сладким вкусом и лёгким ароматом. Эта груша стала популярной благодаря своему необычному внешнему виду и освежающему вкусу."
"Фрукты, ягоды",груша красно-зеленая,кг,,,,
"Фрукты, ягоды",груша конференция,кг,12.6,Деревянный ящик,Турция,"Славится нежным, сладким вкусом с отчетливой ванильно-медовой ноткой и едва уловимой кислинкой. Ее мякоть маслянистая, сочная, кремообразная, буквально тающая во рту, обладающая тонким ароматом спелых тропических фруктов. Форма плода удлинённая, типичная для французских груш, с гладкой глянцевой поверхностью светло-жёлтого или золотистого цвета. Отличная альтернатива десертам, она гармонично вписывается в легкие фруктовые салаты, выпечку, десерты и даже в качестве дополнения к мясным блюдам."
"Фрукты, ягоды",груша пакхам,кг,12,Картонная коробка,Турция,"Ароматные груши этого сорта обладают слегка твердой, но при этом сочной мякотью, которая сохраняет свою сладость и приятный хруст. Эти груши прекрасно подойдут как для непосредственного употребления, так и для кулинарных экспериментов — они сохранят форму и вкус в десертах, салатах или запеченных блюдах."
"Фрукты, ягоды",груша мини,кг,10,Пластиковый короб,Китай,
"Фрукты, ягоды",груша круглая Пхинго,кг,,,,
"Фрукты, ягоды",дыня,кг,,,,
"Фрукты, ягоды",киви,кг,9,Пластиковый короб,Китай,"Зеленая мякоть киви обладает нежностью и сочностью, а бодрящий вкус сочетает оттенки крыжовника, земляники, ананаса и яблока. Этот фрукт подают не только в качестве десерта, но и к мясу, рыбе и сырам, а также используют для украшения десертов и коктейлей."
"Фрукты, ягоды",клубника,кг,1.5,Пенопластовая коробка,Китай,"Сочная и ароматная клубника – это воплощение лета и наслаждения. Ее яркий вкус, сочетающий сладость и легкую кислинку, дарит незабываемые ощущения. Она прекрасно сочетается с мороженым, йогуртом и другими фруктами. Клубника – это не только угощение, но и украшение любого стола. Клубника попадается с разной степенью зрелости."
"Фрукты, ягоды",лайм,кг,,,,"Небольшой цитрусовый фрукт с ярко-зеленой кожурой и сочной, кислой мякотью. Он известен своим интенсивным ароматом и освежающим вкусом, который добавляет яркости многим блюдам и напиткам. Лайм богат витамином C и антиоксидантами, что делает его полезным для здоровья. Его используют в кулинарии для маринадов, соусов, десертов и освежающих напитков, таких как лимонады и коктейли.
"
"Фрукты, ягоды",лимоны ,кг,6,Картонная коробка,Китай,"Один из самых ярких вкусов – кислый, сочный, свежий. Они идеально подходят для приготовления чая, лимонадов, маринадов и соусов, а также для добавления в десерты и выпечку."
"Фрукты, ягоды",манго желтое,кг,6,Пенопластовая коробка,Китай,"Жёлтые манго очень сочные и сладкие, с лёгкими медовыми оттенками, едва уловимой кислинкой и нежной кремообразной мякотью. Манго жёлтое прекрасно подходит для десертов, смузи или как самостоятельное лакомство. Эти плоды станут изысканным десертом на вашем столе!"
"Фрукты, ягоды",манго красное,кг,,Пенопластовая коробка,Китай,"Нежная, сочная и ароматная мякоть с богатым, сладким вкусом и приятной кислинкой, поэтому оно станет отличным выбором для быстрого перекуса или добавления в любимые блюда."
"Фрукты, ягоды",мандарины с листом,кг,10,Пластиковый короб,Китай,
"Фрукты, ягоды",мандарины в корзинке,кг,9,Пластиковый короб,Китай,
"Фрукты, ягоды",мандарины крупный,кг,10,Пластиковый короб,Китай,
"Фрукты, ягоды",мандарины минола,кг,8,Картонная коробка,Китай,
"Фрукты, ягоды",мандарины сахарные с листом,кг,10,Пластиковый короб,Китай,
"Фрукты, ягоды",мандарины в сетке,кг,10,Пластиковый короб,Китай,
"Фрукты, ягоды",мандарины в сумке,кг,8,Пластиковый короб,Китай,
"Фрукты, ягоды",мандарины импортные,кг,,Картонная коробка,,
"Фрукты, ягоды",мандарины сахарные в сетке,кг,10,Пластиковый короб,Китай,
"Фрукты, ягоды",маракуйя,кг,,,,
"Фрукты, ягоды",нектарин ,кг,,,,"Гладкий, сочный фрукт с нежной кожурой и сладкой, ароматной мякотью. Он обладает уникальным вкусом с легкими медовыми нотками. Нектарин идеально подходит для перекуса, добавления в салаты и десерты."
"Фрукты, ягоды",персики плоские,кг,,,,
"Фрукты, ягоды",персики,кг,,,,
"Фрукты, ягоды",питахайя,кг,4,Картонная коробка,Китай,
"Фрукты, ягоды",помело желтое,кг,9,Картонная коробка,Китай,"Гигант среди цитрусовых, с толстой кожурой и сочной, освежающей мякотью. Он выделяется своим мягким, сладким вкусом с легкими горьковатыми нотками, которые придают ему особую изысканность. Помело станет отличным выбором для тех, кто хочет попробовать что-то новое и полезное."
"Фрукты, ягоды",помело красное,кг,9,Картонная коробка,Китай,
"Фрукты, ягоды",слива черная,кг,,,,
"Фрукты, ягоды",слива красная,кг,,,,"Фрукт с насыщенным рубиновым цветом и сочной, сладкой мякотью. Она отличается тонким ароматом и нежным вкусом с легкой кислинкой, что делает её идеальной для перекуса, добавления в десерты или консервирования."
"Фрукты, ягоды",хурма,кг,8,Деревянный ящик,Турция,
"Фрукты, ягоды",черника ,кг,,,,
"Фрукты, ягоды",яблоки айдаред,кг,,,,
"Фрукты, ягоды",яблоки американка,кг,9,Картонная коробка,Китай,
"Фрукты, ягоды",яблоки  гала,кг,9,Картонная коробка,Китай,"Яблоки с гладкой кожурой красно-розового цвета выделяются своими насыщенными вкусовыми качествами. Мякоть плодов плотная, хрустящая, сочного сладкого вкуса и легкими карамельными нотками. Яблоки «Гала» относятся к десертным сортам, поэтому чаще всего подаются в свежем виде. Кроме того, из плодов получаются отличные соки, варенья и джемы."
"Фрукты, ягоды",яблоки голден,кг,,,,
"Фрукты, ягоды",яблоки гренни,кг,10,Картонная коробка,Турция,"Сорт с зелено-салатовой кожурой и хрустящей, сочной мякотью. Оно отличается освежающим, слегка кисловатым вкусом и приятным ароматом. Гренни Премиум идеально подходит для тех, кто ценит баланс между сладостью и кислинкой. Этот сорт особенно хорош для перекуса, добавления в салаты и выпечку, а также для приготовления освежающих напитков."
"Фрукты, ягоды",яблоки зеленые,кг,,,,
"Фрукты, ягоды",яблоки краснодарские,кг,10,Картонная коробка,Россия,
"Фрукты, ягоды",яблоки малиновые,кг,9,Картонная коробка,Китай,
"Фрукты, ягоды",яблоки медовые,кг,9,Картонная коробка,Китай,
"Фрукты, ягоды",яблоки ранет,кг,,,,
"Фрукты, ягоды",яблоки фуши,кг,9,Картонная коробка,Китай,
